district,census_chiefdom,gb_chiefdom
Kailahun,Dea,Dea
Kailahun,Jahn,Njaluahun
Kailahun,Jawie,Jawie
Kailahun,Kissi Kama,Kissi Kama
Kailahun,Kissi Teng,Kissi Teng
Kailahun,Kissi Tongi,Kissi Tongi
Kailahun,Kpeje Bongre,Kpeje Bongre
Kailahun,Kpeje West,Kpeje West
Kailahun,Luawa,Luawa
Kailahun,Malema,Malema
Kailahun,Mandu,Mandu
Kailahun,Njaluahun,Njaluahun
Kailahun,Penguia,Penguia
Kailahun,Upper Bambara,Upper Bambara
Kailahun,Yawei,Yawei
Kenema,Dama,Dama
Kenema,Dodo,Dodo
Kenema,Gaura,Gaura
Kenema,Gorama Mende,Gorama Mende
Kenema,Kandu Leppiama,Kandu Leppiama
Kenema,Koya,Koya
Kenema,Langrama,Langrama
Kenema,Lower Bambara,Lower Bambara
Kenema,Malegohun,Malegohun
Kenema,Niawa,Niawa
Kenema,Nomo,Nomo
Kenema,Nongowa,Nongowa
Kenema,Simbaru,Simbaru
Kenema,Small Bo,Small Bo
Kenema,Tunkia,Tunkia
Kenema,Wandor,Wandor
Kenema,Kenema City,Kenema Town
Kono,Faima,Fiama
Kono,Gbane,Gbane
Kono,Gbane Kandor,Gbane Kandor
Kono,Gbense,Gbense
Kono,Goroma Kono,Gorama Kono
Kono,Kamara,Kamara
Kono,Lei,Lei
Kono,Mafindor,Mafindor
Kono,Nimikoro,Nimikoro
Kono,Nimiyama,Nimiyama
Kono,Sandor,Sandor
Kono,Soa,Soa
Kono,Tankora,Tankoro
Kono,Toli,Toli
Kono,Koidu City,Koidu Town
Bombali,Biriwa,Biriwa
Bombali,Bombali Shebora,Bombali Sebora
Bombali,Bombali Siari,Bombali Sebora
Bombali,Gbanti,Gbanti Kamarank
Bombali,Gbendembu,Gbendembu Ngowa
Bombali,Kamaranka,Gbanti Kamarank
Bombali,Magbaimba Ndorwahun,Magbaimba Ndorh
Bombali,Makari,Makeni Town
Bombali,Mara,Bombali Sebora
Bombali,N'gowahun,Gbendembu Ngowa
Bombali,Paki Masabong,Paki Masabong
Bombali,Safroko Limba,Safroko Limba
Bombali,Makani City,Makeni Town
Falaba,Delemandugu,Dembelia - Sink
Falaba,Dembelia,Dembelia - Sink
Falaba,Dembelia-Sinkunia,Dembelia - Sink
Falaba,Folosaba,Folosaba Dembel
Falaba,Kamadu Yiraia,Dembelia - Sink
Falaba,Kebelia,Dembelia - Sink
Falaba,Kulor Saradu,Folosaba Dembel
Falaba,Mongo,Mongo
Falaba,Morifindugu,Mongo
Falaba,Neya,Neya
Falaba,Nyedu,Neya
Falaba,Sulima,Sulima
Falaba,Wollay Barawa,Folosaba Dembel
Koinadugu,Diang,Diang
Koinadugu,Gbonkobon Kayaka,Wara Wara Yagal
Koinadugu,Kalian,Diang
Koinadugu,Kamukeh,Kasunko
Koinadugu,Kasunko KaKellian,Kasunko
Koinadugu,Nieni,Nieni
Koinadugu,Sengbe,Sengbe
Koinadugu,Tamiso,Kasunko
Koinadugu,Wara Wara Bafodia,Wara Wara Bafod
Koinadugu,Wara Wara Yagala,Wara Wara Yagal
Tonkolili,Dansogoia,Kalansogoia
Tonkolili,Gbonkolenkeni/Masankong,Gbonkolenken
Tonkolili,Kafe,Kafe Simiria
Tonkolili,Kalanthuba,Kalansogoia
Tonkolili,Kholifa Mabang,Kholifa Mabang
Tonkolili,Kholifa Mamuntha/ Mayosso,Kholifa Mabang
Tonkolili,Kholifa Rowala,Kholifa Rowala
Tonkolili,Kunike Barina,Kunike Barina
Tonkolili,Kunike Folawusu,Kunike
Tonkolili,Kunike Sanda,Kunike
Tonkolili,Malal,Malal Mara
Tonkolili,Mayeppoh,Sambaya
Tonkolili,Poli,Yoni
Tonkolili,Sambaya,Sambaya
Tonkolili,Simiria,Kafe Simiria
Tonkolili,Tane,Tane
Tonkolili,Yele,Yoni
Tonkolili,Yoni Mabanta,Yoni
Tonkolili,Yoni Mamaila,Yoni
Kambia,Bramaia,Bramaia
Kambia,Dixon,Gbinle Dixing
Kambia,Gbinle,Gbinle Dixing
Kambia,Khonimaka,Tonko Limba
Kambia,Magbema,Magbema
Kambia,Mambolo,Mambolo
Kambia,Masungbala,Masungbala
Kambia,Munu Thalla,Masungbala
Kambia,Samu,Samu
Kambia,Tonko Limba,Tonko Limba
Karene,Buya,Buya Romende
Karene,Dibia,Dibia
Karene,Gbanti,Makari Gbanti
Karene,Libeisaygahun/Gbombahun,Libeisaygahun
Karene,Mafonda Makerembay,Sanda Tendaran
Karene,Romende,Buya Romende
Karene,Safroko,Sanda Loko
Karene,Sanda Loko,Sanda Loko
Karene,Sanda Magbolontor,Sanda Magbolont
Karene,Sanda Tendaran,Sanda Tendaran
Karene,Sella Limba,Sella Limba
Karene,Tambakha Simibungie,Tambakha
Karene,Tambakha Yobangie,Tambakha
Port Loko,Bakeh Loko,Koya (Port Loko)
Port Loko,Bureh,Bureh Kasseh Ma
Port Loko,Kaffu Bullom,Kaffu Bullom
Port Loko,Kamasondo,Lokomasama
Port Loko,Kasseh,Bureh Kasseh Ma
Port Loko,Koya,Koya (Port Loko)
Port Loko,Loko Masama,Koya (Port Loko)
Port Loko,Maconteh,Maforki
Port Loko,Maforki,Maforki
Port Loko,Makama,TMS
Port Loko,Marampa,Marampa
Port Loko,Masimera,Masimera
Port Loko,Thainkatopa,TMS
Port Loko,Port Loko City,Koya (Port Loko)
Bo,Badjia,Badjia
Bo,Bagbo,Bagbo
Bo,Bagbwe(Bagbe),Bagbwe(Bagbe)
Bo,Boama,Boama
Bo,Bongor,Jaiama Bongor
Bo,Bumpe Ngao,Bumpe Ngao
Bo,Gbo,Gbo
Bo,Jaiama,Jaiama Bongor
Bo,Kakua,Kakua
Bo,Komboya,Komboya
Bo,Lugbu,Lugbu
Bo,Niawa Lenga,Niawa Lenga
Bo,Selenga,Selenga
Bo,Tikonko,Tikonko
Bo,Valunia,Valunia
Bo,Wonde,Wonde
Bo,Bo City,Bo Town
Bonthe,Bendu-Cha,Bendu-Cha
Bonthe,Bum,Bum
Bonthe,Dema,Dema
Bonthe,Imperri,Imperri
Bonthe,Jong,Jong
Bonthe,Kpanda Kemo,Kpanda Kemo
Bonthe,Kwamebai Krim,Kwamebai Krim
Bonthe,Nongoba Bullom,Nongoba Bullom
Bonthe,Sittia,Sittia
Bonthe,Sogbeni,Sogbeni
Bonthe,Yawbeko,Yawbeko
Bonthe,Bonthe Urban,Bonthe Urban
Moyamba,Bagruwa,Bagruwa
Moyamba,Bumpeh,Bumpeh
Moyamba,Dasse,Dasse
Moyamba,Fakunya,Fakunya
Moyamba,Kagboro,Kagboro
Moyamba,Kaiyamba,Kaiyamba
Moyamba,Kamajei,Kamajei
Moyamba,Kongbora,Kongbora
Moyamba,Kori,Kori
Moyamba,Kowa,Kowa
Moyamba,Lower Banta,Lower Banta
Moyamba,Ribbi,Ribbi
Moyamba,Timdale,Timdale
Moyamba,Upper Banta,Upper Banta
Pujehun,Barri,Barri
Pujehun,Galliness,Galliness Perri
Pujehun,Kabonde,Panga Kabonde
Pujehun,Kpaka,Kpaka
Pujehun,Makpele,Makpele
Pujehun,Malen,Malen
Pujehun,Mano Sakrim,Mono Sakrim
Pujehun,Panga,Panga krim
Pujehun,Panga krim,Panga krim
Pujehun,Pejeh (Futa peje),Pejeh(Futa peje
Pujehun,Perri,Galliness Perri
Pujehun,Soro Gbema,Soro Gbema
Pujehun,Sowa,Sowa
Pujehun,Yakemu Kpukumu,Yakemu Kpukumu
Western Area Rural,Koya Rural,Koya Rural
Western Area Rural,Mountain Rural,Mountain Rural
Western Area Rural,Waterloo Rural,Waterloo Rural
Western Area Rural,York Rural,York Rural
Western Area Urban,Central 1,Central I
Western Area Urban,Central 2,Central II
Western Area Urban,East 1,East I
Western Area Urban,East 2,East II
Western Area Urban,East 3,East III
Western Area Urban,West 1,West I
Western Area Urban,West 2,West II
Western Area Urban,West 3,West III
